Feature: workclass | Value: Private | Precision: 0.738 | Recall: 0.640 | F1: 0.686
Feature: workclass | Value: State-gov | Precision: 0.742 | Recall: 0.671 | F1: 0.705
Feature: workclass | Value: Self-emp-not-inc | Precision: 0.706 | Recall: 0.490 | F1: 0.579
Feature: workclass | Value: Self-emp-inc | Precision: 0.781 | Recall: 0.754 | F1: 0.767
Feature: workclass | Value: Federal-gov | Precision: 0.797 | Recall: 0.786 | F1: 0.791
Feature: workclass | Value: Local-gov | Precision: 0.758 | Recall: 0.682 | F1: 0.718
Feature: workclass | Value: ? | Precision: 0.654 | Recall: 0.405 | F1: 0.500
Feature: workclass | Value: Without-pay | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: education | Value: Some-college | Precision: 0.686 | Recall: 0.520 | F1: 0.591
Feature: education | Value: HS-grad | Precision: 0.659 | Recall: 0.438 | F1: 0.526
Feature: education | Value: Bachelors | Precision: 0.752 | Recall: 0.729 | F1: 0.740
Feature: education | Value: Masters | Precision: 0.827 | Recall: 0.855 | F1: 0.841
Feature: education | Value: Assoc-acdm | Precision: 0.700 | Recall: 0.596 | F1: 0.644
Feature: education | Value: 7th-8th | Precision: 0.000 | Recall: 0.000 | F1: 0.000
Feature: education | Value: 11th | Precision: 1.000 | Recall: 0.273 | F1: 0.429
Feature: education | Value: Assoc-voc | Precision: 0.647 | Recall: 0.524 | F1: 0.579
Feature: education | Value: Prof-school | Precision: 0.818 | Recall: 0.964 | F1: 0.885
Feature: education | Value: 9th | Precision: 1.000 | Recall: 0.333 | F1: 0.500
Feature: education | Value: 5th-6th | Precision: 1.000 | Recall: 0.500 | F1: 0.667
Feature: education | Value: 10th | Precision: 0.400 | Recall: 0.167 | F1: 0.235
Feature: education | Value: Doctorate | Precision: 0.864 | Recall: 0.895 | F1: 0.879
Feature: education | Value: 12th | Precision: 1.000 | Recall: 0.400 | F1: 0.571
Feature: education | Value: 1st-4th | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: education | Value: Preschool | Precision: 1.000 | Recall: 1.000 | F1: 1.000
Feature: marital-status | Value: Divorced | Precision: 0.760 | Recall: 0.369 | F1: 0.497
Feature: marital-status | Value: Married-civ-spouse | Precision: 0.735 | Recall: 0.690 | F1: 0.712
Feature: marital-status | Value: Never-married | Precision: 0.830 | Recall: 0.427 | F1: 0.564
